Invoice_ID,Invoice_Date,Vendor_Name,Invoice_Number,Category,Description,Amount_USD,Tax_USD,Total_USD,Payment_Method,Due_Date,Status
INV00016,2026-03-12,City Electricity,NO1017,Utilities,Electricity Bill,404.41,40.44,444.85,Credit Card,2026-03-27,Paid
INV00017,2026-06-08,DHL,NO1018,Shipping,Courier,702.16,70.22,772.38,Credit Card,2026-06-23,Overdue
INV00018,2026-06-20,DHL,NO1019,Shipping,Courier,409.9,40.99,450.89,Online,2026-07-05,Overdue
INV00019,2026-01-06,Fuel Station,NO1020,Travel,Fuel,298.47,29.85,328.32,Cash,2026-01-21,Overdue
INV00020,2026-01-04,DHL,NO1021,Shipping,Courier,89.41,8.94,98.35,Online,2026-01-19,Paid
INV00021,2026-02-28,Fuel Station,NO1022,Travel,Fuel,1088.23,108.82,1197.05,Online,2026-03-15,Paid
INV00022,2026-05-05,Fuel Station,NO1023,Travel,Fuel,717.73,71.77,789.5,Credit Card,2026-05-20,Pending
INV00023,2026-04-01,Cleaning Services,NO1024,Maintenance,Cleaning,877.35,87.74,965.09,Online,2026-04-16,Pending
INV00024,2026-05-14,DHL,NO1025,Shipping,Courier,284.08,28.41,312.49,Online,2026-05-29,Pending
INV00025,2026-05-04,DHL,NO1026,Shipping,Courier,128.1,12.81,140.91,Cash,2026-05-19,Pending
INV00026,2026-06-30,DHL,NO1027,Shipping,Courier,985.26,98.53,1083.79,Bank Transfer,2026-07-15,Paid
INV00027,2026-01-07,Cleaning Services,NO1028,Maintenance,Cleaning,878.01,87.8,965.81,Credit Card,2026-01-22,Paid
INV00028,2026-01-31,Cleaning Services,NO1029,Maintenance,Cleaning,774.31,77.43,851.74,Cash,2026-02-15,Pending
INV00029,2026-02-05,DHL,NO1030,Shipping,Courier,54.2,5.42,59.62,Credit Card,2026-02-20,Paid
INV00030,2026-01-27,City Electricity,NO1031,Utilities,Electricity Bill,657.98,65.8,723.78,Cash,2026-02-11,Paid
INV00031,2026-01-21,Nepal Telecom,NO1032,Internet,Internet,1215.72,121.57,1337.29,Cash,2026-02-05,Overdue
INV00032,2026-06-24,Nepal Telecom,NO1033,Internet,Internet,1333.76,133.38,1467.14,Credit Card,2026-07-09,Paid
INV00033,2026-02-17,Dell Store,NO1034,Equipment,Laptop,59.83,5.98,65.81,Online,2026-03-04,Pending
INV00034,2026-04-18,Microsoft,NO1035,Software,Microsoft 365,931.6,93.16,1024.76,Online,2026-05-03,Pending
INV00035,2026-01-07,Fuel Station,NO1036,Travel,Fuel,645.06,64.51,709.57,Bank Transfer,2026-01-22,Overdue
INV00036,2026-04-04,ABC Office Supplies,NO1037,Office Supplies,Printer Paper,331.75,33.18,364.93,Bank Transfer,2026-04-19,Paid
INV00037,2026-02-17,Zoom,NO1038,Software,Zoom Subscription,468.6,46.86,515.46,Bank Transfer,2026-03-04,Paid
INV00038,2026-04-26,ABC Office Supplies,NO1039,Office Supplies,Printer Paper,572.78,57.28,630.06,Credit Card,2026-05-11,Paid
INV00039,2026-01-05,Fuel Station,NO1040,Travel,Fuel,1283,128.3,1411.3,Credit Card,2026-01-20,Overdue
INV00040,2026-02-21,ABC Office Supplies,NO1041,Office Supplies,Printer Paper,1041.78,104.18,1145.96,Credit Card,2026-03-08,Pending
INV00041,2026-06-07,ABC Office Supplies,NO1042,Office Supplies,Printer Paper,1381.76,138.18,1519.94,Online,2026-06-22,Overdue
INV00042,2026-01-24,Microsoft,NO1043,Software,Microsoft 365,1314.96,131.5,1446.46,Cash,2026-02-08,Pending
INV00043,2026-05-23,Zoom,NO1044,Software,Zoom Subscription,762.21,76.22,838.43,Bank Transfer,2026-06-07,Pending
INV00044,2026-04-01,Zoom,NO1045,Software,Zoom Subscription,1337.24,133.72,1470.96,Bank Transfer,2026-04-16,Pending
INV00045,2026-02-25,Zoom,NO1046,Software,Zoom Subscription,1473.3,147.33,1620.63,Credit Card,2026-03-12,Overdue
INV00046,2026-05-16,ABC Office Supplies,NO1047,Office Supplies,Printer Paper,489.06,48.91,537.97,Online,2026-05-31,Pending
INV00047,2026-04-07,Dell Store,NO1048,Equipment,Laptop,726.95,72.7,799.65,Cash,2026-04-22,Overdue
INV00048,2026-05-07,Zoom,NO1049,Software,Zoom Subscription,299.7,29.97,329.67,Bank Transfer,2026-05-22,Pending
INV00049,2026-06-04,City Electricity,NO1050,Utilities,Electricity Bill,502.02,50.2,552.22,Credit Card,2026-06-19,Pending
INV00050,2026-03-03,Nepal Telecom,NO1051,Internet,Internet,696.01,69.6,765.61,Cash,2026-03-18,Overdue
INV00051,2026-02-27,Dell Store,NO1052,Equipment,Laptop,558.85,55.89,614.74,Cash,2026-03-14,Pending
INV00052,2026-05-09,Nepal Telecom,NO1053,Internet,Internet,188.09,18.81,206.9,Cash,2026-05-24,Overdue
INV00053,2026-06-19,ABC Office Supplies,NO1054,Office Supplies,Printer Paper,1404.42,140.44,1544.86,Online,2026-07-04,Paid
INV00054,2026-04-15,Microsoft,NO1055,Software,Microsoft 365,638.78,63.88,702.66,Bank Transfer,2026-04-30,Overdue
INV00055,2026-06-26,City Electricity,NO1056,Utilities,Electricity Bill,125.46,12.55,138.01,Credit Card,2026-07-11,Pending
INV00056,2026-02-09,City Electricity,NO1057,Utilities,Electricity Bill,1357.42,135.74,1493.16,Online,2026-02-24,Paid
INV00057,2026-04-17,City Electricity,NO1058,Utilities,Electricity Bill,724.29,72.43,796.72,Bank Transfer,2026-05-02,Overdue
INV00058,2026-01-29,DHL,NO1059,Shipping,Courier,470.17,47.02,517.19,Cash,2026-02-13,Pending
INV00059,2026-06-24,Nepal Telecom,NO1060,Internet,Internet,869.42,86.94,956.36,Online,2026-07-09,Paid
INV00060,2026-05-03,DHL,NO1061,Shipping,Courier,880.78,88.08,968.86,Cash,2026-05-18,Paid
INV00061,2026-06-25,Zoom,NO1062,Software,Zoom Subscription,658.71,65.87,724.58,Bank Transfer,2026-07-10,Paid
INV00062,2026-01-20,Nepal Telecom,NO1063,Internet,Internet,907.32,90.73,998.05,Credit Card,2026-02-04,Overdue
INV00063,2026-05-07,Fuel Station,NO1064,Travel,Fuel,354.75,35.48,390.23,Cash,2026-05-22,Pending
INV00064,2026-05-31,Nepal Telecom,NO1065,Internet,Internet,936.25,93.62,1029.87,Cash,2026-06-15,Pending
INV00065,2026-04-07,Fuel Station,NO1066,Travel,Fuel,633.94,63.39,697.33,Cash,2026-04-22,Paid
INV00066,2026-05-13,Dell Store,NO1067,Equipment,Laptop,225.4,22.54,247.94,Credit Card,2026-05-28,Overdue
INV00067,2026-03-07,Dell Store,NO1068,Equipment,Laptop,1044.11,104.41,1148.52,Credit Card,2026-03-22,Paid
INV00068,2026-03-15,DHL,NO1069,Shipping,Courier,568.96,56.9,625.86,Online,2026-03-30,Overdue
INV00069,2026-04-28,Fuel Station,NO1070,Travel,Fuel,48.95,4.9,53.85,Bank Transfer,2026-05-13,Overdue
INV00070,2026-03-16,Cleaning Services,NO1071,Maintenance,Cleaning,1067.35,106.73,1174.08,Cash,2026-03-31,Paid
INV00071,2026-01-19,Zoom,NO1072,Software,Zoom Subscription,358.26,35.83,394.09,Credit Card,2026-02-03,Paid
INV00072,2026-05-21,Zoom,NO1073,Software,Zoom Subscription,1406.22,140.62,1546.84,Credit Card,2026-06-05,Paid
INV00073,2026-04-27,ABC Office Supplies,NO1074,Office Supplies,Printer Paper,1096.66,109.67,1206.33,Online,2026-05-12,Pending
INV00074,2026-02-19,Zoom,NO1075,Software,Zoom Subscription,1426,142.6,1568.6,Credit Card,2026-03-06,Paid
INV00075,2026-05-09,DHL,NO1076,Shipping,Courier,20.6,2.06,22.66,Credit Card,2026-05-24,Paid
INV00076,2026-01-22,City Electricity,NO1077,Utilities,Electricity Bill,1392.57,139.26,1531.83,Cash,2026-02-06,Paid
INV00077,2026-02-27,City Electricity,NO1078,Utilities,Electricity Bill,52.21,5.22,57.43,Online,2026-03-14,Overdue
INV00078,2026-05-01,City Electricity,NO1079,Utilities,Electricity Bill,1080.8,108.08,1188.88,Credit Card,2026-05-16,Pending
INV00079,2026-06-30,Zoom,NO1080,Software,Zoom Subscription,1131.96,113.2,1245.16,Online,2026-07-15,Overdue
INV00080,2026-01-05,ABC Office Supplies,NO1081,Office Supplies,Printer Paper,214.65,21.47,236.12,Bank Transfer,2026-01-20,Pending
INV00081,2026-06-03,Cleaning Services,NO1082,Maintenance,Cleaning,951.5,95.15,1046.65,Credit Card,2026-06-18,Pending
INV00082,2026-03-03,Nepal Telecom,NO1083,Internet,Internet,1083,108.3,1191.3,Credit Card,2026-03-18,Pending
INV00083,2026-01-17,DHL,NO1084,Shipping,Courier,1471.27,147.13,1618.4,Cash,2026-02-01,Pending
INV00084,2026-01-10,Zoom,NO1085,Software,Zoom Subscription,507.73,50.77,558.5,Bank Transfer,2026-01-25,Pending
INV00085,2026-05-15,Dell Store,NO1086,Equipment,Laptop,46.94,4.69,51.63,Cash,2026-05-30,Overdue
INV00086,2026-04-05,Microsoft,NO1087,Software,Microsoft 365,631.62,63.16,694.78,Cash,2026-04-20,Paid
INV00087,2026-06-24,City Electricity,NO1088,Utilities,Electricity Bill,456.94,45.69,502.63,Credit Card,2026-07-09,Overdue
INV00088,2026-03-29,Zoom,NO1089,Software,Zoom Subscription,1392.46,139.25,1531.71,Online,2026-04-13,Paid
INV00089,2026-03-30,DHL,NO1090,Shipping,Courier,180.64,18.06,198.7,Cash,2026-04-14,Paid
INV00090,2026-01-01,City Electricity,NO1091,Utilities,Electricity Bill,595.24,59.52,654.76,Bank Transfer,2026-01-16,Overdue
INV00091,2026-04-25,Microsoft,NO1092,Software,Microsoft 365,1488.44,148.84,1637.28,Online,2026-05-10,Pending
INV00092,2026-02-23,Nepal Telecom,NO1093,Internet,Internet,1281.69,128.17,1409.86,Cash,2026-03-10,Overdue
INV00093,2026-01-02,Dell Store,NO1094,Equipment,Laptop,398.81,39.88,438.69,Online,2026-01-17,Overdue
INV00094,2026-03-19,Nepal Telecom,NO1095,Internet,Internet,173.66,17.37,191.03,Bank Transfer,2026-04-03,Pending
INV00095,2026-06-03,Microsoft,NO1096,Software,Microsoft 365,196.97,19.7,216.67,Credit Card,2026-06-18,Pending
INV00096,2026-05-10,Cleaning Services,NO1097,Maintenance,Cleaning,494.64,49.46,544.1,Online,2026-05-25,Overdue
INV00097,2026-02-18,Nepal Telecom,NO1098,Internet,Internet,1164.42,116.44,1280.86,Cash,2026-03-05,Paid
INV00098,2026-01-14,DHL,NO1099,Shipping,Courier,783.59,78.36,861.95,Cash,2026-01-29,Pending
INV00099,2026-01-07,Zoom,NO1100,Software,Zoom Subscription,24.62,2.46,27.08,Bank Transfer,2026-01-22,Pending
INV00100,2026-06-13,City Electricity,NO1101,Utilities,Electricity Bill,159.44,15.94,175.38,Credit Card,2026-06-28,Paid
INV00101,2026-01-24,DHL,NO1102,Shipping,Courier,349.86,34.99,384.85,Bank Transfer,2026-02-08,Pending
INV00102,2026-01-15,City Electricity,NO1103,Utilities,Electricity Bill,477.57,47.76,525.33,Credit Card,2026-01-30,Paid
INV00103,2026-04-28,City Electricity,NO1104,Utilities,Electricity Bill,65.27,6.53,71.8,Cash,2026-05-13,Overdue
INV00104,2026-02-09,Fuel Station,NO1105,Travel,Fuel,1288.8,128.88,1417.68,Online,2026-02-24,Pending
INV00105,2026-01-29,Nepal Telecom,NO1106,Internet,Internet,992.87,99.29,1092.16,Online,2026-02-13,Paid
INV00106,2026-05-11,Microsoft,NO1107,Software,Microsoft 365,355.42,35.54,390.96,Bank Transfer,2026-05-26,Overdue
INV00107,2026-04-11,Fuel Station,NO1108,Travel,Fuel,996.07,99.61,1095.68,Credit Card,2026-04-26,Paid
INV00108,2026-03-02,DHL,NO1109,Shipping,Courier,1435.88,143.59,1579.47,Bank Transfer,2026-03-17,Overdue
INV00109,2026-04-29,Microsoft,NO1110,Software,Microsoft 365,433.28,43.33,476.61,Online,2026-05-14,Overdue
INV00110,2026-02-16,ABC Office Supplies,NO1111,Office Supplies,Printer Paper,1487.09,148.71,1635.8,Bank Transfer,2026-03-03,Overdue
INV00111,2026-05-22,Cleaning Services,NO1112,Maintenance,Cleaning,837.57,83.76,921.33,Bank Transfer,2026-06-06,Overdue
INV00112,2026-05-02,ABC Office Supplies,NO1113,Office Supplies,Printer Paper,924.28,92.43,1016.71,Cash,2026-05-17,Pending
INV00113,2026-05-18,DHL,NO1114,Shipping,Courier,1158.45,115.85,1274.3,Cash,2026-06-02,Pending
INV00114,2026-02-14,Fuel Station,NO1115,Travel,Fuel,1098.27,109.83,1208.1,Online,2026-03-01,Overdue
INV00115,2026-04-28,Nepal Telecom,NO1116,Internet,Internet,305.85,30.59,336.44,Credit Card,2026-05-13,Pending
INV00116,2026-02-23,Fuel Station,NO1117,Travel,Fuel,1039.59,103.96,1143.55,Cash,2026-03-10,Overdue
INV00117,2026-04-15,Zoom,NO1118,Software,Zoom Subscription,93.08,9.31,102.39,Cash,2026-04-30,Overdue
INV00118,2026-03-11,City Electricity,NO1119,Utilities,Electricity Bill,638.84,63.88,702.72,Bank Transfer,2026-03-26,Overdue
INV00119,2026-01-07,City Electricity,NO1120,Utilities,Electricity Bill,1301.07,130.11,1431.18,Credit Card,2026-01-22,Pending
INV00120,2026-03-27,Nepal Telecom,NO1121,Internet,Internet,958.45,95.85,1054.3,Cash,2026-04-11,Paid
INV00121,2026-02-16,City Electricity,NO1122,Utilities,Electricity Bill,902.74,90.27,993.01,Cash,2026-03-03,Paid
INV00122,2026-02-21,Zoom,NO1123,Software,Zoom Subscription,624.35,62.44,686.79,Online,2026-03-08,Paid
INV00123,2026-05-26,Cleaning Services,NO1124,Maintenance,Cleaning,991.52,99.15,1090.67,Credit Card,2026-06-10,Paid
INV00124,2026-04-04,City Electricity,NO1125,Utilities,Electricity Bill,32.7,3.27,35.97,Online,2026-04-19,Paid
INV00125,2026-03-24,Nepal Telecom,NO1126,Internet,Internet,939.52,93.95,1033.47,Credit Card,2026-04-08,Paid
INV00126,2026-03-08,Zoom,NO1127,Software,Zoom Subscription,1075.12,107.51,1182.63,Online,2026-03-23,Overdue
INV00127,2026-02-12,City Electricity,NO1128,Utilities,Electricity Bill,1195.11,119.51,1314.62,Online,2026-02-27,Overdue
INV00128,2026-05-27,Zoom,NO1129,Software,Zoom Subscription,194.13,19.41,213.54,Bank Transfer,2026-06-11,Overdue
INV00129,2026-04-30,Zoom,NO1130,Software,Zoom Subscription,922.73,92.27,1015,Credit Card,2026-05-15,Paid
INV00130,2026-04-20,Nepal Telecom,NO1131,Internet,Internet,582.59,58.26,640.85,Credit Card,2026-05-05,Pending
INV00131,2026-01-20,Nepal Telecom,NO1132,Internet,Internet,1270.65,127.07,1397.72,Online,2026-02-04,Paid
INV00132,2026-06-16,Zoom,NO1133,Software,Zoom Subscription,366.42,36.64,403.06,Cash,2026-07-01,Paid
INV00133,2026-02-24,Microsoft,NO1134,Software,Microsoft 365,1041.31,104.13,1145.44,Cash,2026-03-11,Paid
INV00134,2026-03-16,Zoom,NO1135,Software,Zoom Subscription,862.37,86.24,948.61,Online,2026-03-31,Paid
INV00135,2026-05-20,ABC Office Supplies,NO1136,Office Supplies,Printer Paper,354.47,35.45,389.92,Bank Transfer,2026-06-04,Paid
INV00136,2026-05-11,Nepal Telecom,NO1137,Internet,Internet,769.44,76.94,846.38,Cash,2026-05-26,Pending
INV00137,2026-04-08,City Electricity,NO1138,Utilities,Electricity Bill,1241.29,124.13,1365.42,Bank Transfer,2026-04-23,Overdue
INV00138,2026-05-12,Zoom,NO1139,Software,Zoom Subscription,954.06,95.41,1049.47,Bank Transfer,2026-05-27,Pending
INV00139,2026-04-25,Nepal Telecom,NO1140,Internet,Internet,717.51,71.75,789.26,Bank Transfer,2026-05-10,Overdue
INV00140,2026-01-12,City Electricity,NO1141,Utilities,Electricity Bill,1304.04,130.4,1434.44,Bank Transfer,2026-01-27,Pending
INV00141,2026-01-28,Dell Store,NO1142,Equipment,Laptop,715.08,71.51,786.59,Online,2026-02-12,Overdue
INV00142,2026-06-22,Nepal Telecom,NO1143,Internet,Internet,842.93,84.29,927.22,Bank Transfer,2026-07-07,Paid
INV00143,2026-05-12,Zoom,NO1144,Software,Zoom Subscription,617.7,61.77,679.47,Credit Card,2026-05-27,Overdue
INV00144,2026-06-18,Nepal Telecom,NO1145,Internet,Internet,845.04,84.5,929.54,Bank Transfer,2026-07-03,Overdue
INV00145,2026-06-05,City Electricity,NO1146,Utilities,Electricity Bill,921.64,92.16,1013.8,Cash,2026-06-20,Overdue
INV00146,2026-04-29,City Electricity,NO1147,Utilities,Electricity Bill,825.04,82.5,907.54,Online,2026-05-14,Overdue
INV00147,2026-02-08,Fuel Station,NO1148,Travel,Fuel,1086.31,108.63,1194.94,Bank Transfer,2026-02-23,Paid
INV00148,2026-01-12,Dell Store,NO1149,Equipment,Laptop,775.91,77.59,853.5,Bank Transfer,2026-01-27,Overdue
INV00149,2026-03-18,Fuel Station,NO1150,Travel,Fuel,308.32,30.83,339.15,Credit Card,2026-04-02,Paid
INV00150,2026-03-28,ABC Office Supplies,NO1151,Office Supplies,Printer Paper,775.74,77.57,853.31,Online,2026-04-12,Paid
INV00151,2026-02-01,City Electricity,NO1152,Utilities,Electricity Bill,140.64,14.06,154.7,Cash,2026-02-16,Overdue
INV00152,2026-03-27,Dell Store,NO1153,Equipment,Laptop,395.83,39.58,435.41,Online,2026-04-11,Overdue
INV00153,2026-01-21,Nepal Telecom,NO1154,Internet,Internet,426.42,42.64,469.06,Online,2026-02-05,Paid
INV00154,2026-04-19,ABC Office Supplies,NO1155,Office Supplies,Printer Paper,242.83,24.28,267.11,Online,2026-05-04,Overdue
INV00155,2026-02-14,Dell Store,NO1156,Equipment,Laptop,444.05,44.41,488.46,Credit Card,2026-03-01,Paid
INV00156,2026-05-06,Zoom,NO1157,Software,Zoom Subscription,1220.88,122.09,1342.97,Cash,2026-05-21,Overdue
INV00157,2026-04-12,ABC Office Supplies,NO1158,Office Supplies,Printer Paper,821.7,82.17,903.87,Credit Card,2026-04-27,Paid
INV00158,2026-02-06,Zoom,NO1159,Software,Zoom Subscription,194.26,19.43,213.69,Bank Transfer,2026-02-21,Paid
INV00159,2026-02-07,Microsoft,NO1160,Software,Microsoft 365,751.65,75.17,826.82,Bank Transfer,2026-02-22,Paid
INV00160,2026-01-31,Cleaning Services,NO1161,Maintenance,Cleaning,1212.55,121.25,1333.8,Online,2026-02-15,Pending
INV00161,2026-02-13,DHL,NO1162,Shipping,Courier,267.78,26.78,294.56,Bank Transfer,2026-02-28,Pending
INV00162,2026-06-15,Dell Store,NO1163,Equipment,Laptop,92.79,9.28,102.07,Cash,2026-06-30,Paid
INV00163,2026-03-30,Fuel Station,NO1164,Travel,Fuel,777.82,77.78,855.6,Bank Transfer,2026-04-14,Pending
INV00164,2026-04-15,Microsoft,NO1165,Software,Microsoft 365,1230.19,123.02,1353.21,Cash,2026-04-30,Pending
INV00165,2026-02-24,Microsoft,NO1166,Software,Microsoft 365,806.28,80.63,886.91,Cash,2026-03-11,Pending
INV00166,2026-01-23,Zoom,NO1167,Software,Zoom Subscription,426.9,42.69,469.59,Online,2026-02-07,Pending
INV00167,2026-02-25,Microsoft,NO1168,Software,Microsoft 365,374.86,37.49,412.35,Credit Card,2026-03-12,Pending
INV00168,2026-02-07,Nepal Telecom,NO1169,Internet,Internet,449.01,44.9,493.91,Cash,2026-02-22,Pending
INV00169,2026-06-12,City Electricity,NO1170,Utilities,Electricity Bill,140.22,14.02,154.24,Bank Transfer,2026-06-27,Pending
INV00170,2026-02-22,Dell Store,NO1171,Equipment,Laptop,812.15,81.22,893.37,Online,2026-03-09,Overdue
INV00171,2026-06-24,DHL,NO1172,Shipping,Courier,795.11,79.51,874.62,Bank Transfer,2026-07-09,Paid
INV00172,2026-06-18,Fuel Station,NO1173,Travel,Fuel,234.7,23.47,258.17,Online,2026-07-03,Pending
INV00173,2026-01-11,Microsoft,NO1174,Software,Microsoft 365,917.73,91.77,1009.5,Online,2026-01-26,Paid
INV00174,2026-02-28,Cleaning Services,NO1175,Maintenance,Cleaning,1278.83,127.88,1406.71,Cash,2026-03-15,Paid
INV00175,2026-02-16,Nepal Telecom,NO1176,Internet,Internet,428.42,42.84,471.26,Bank Transfer,2026-03-03,Pending
INV00176,2026-04-17,City Electricity,NO1177,Utilities,Electricity Bill,388.75,38.88,427.63,Cash,2026-05-02,Overdue
INV00177,2026-04-21,Cleaning Services,NO1178,Maintenance,Cleaning,1226.31,122.63,1348.94,Cash,2026-05-06,Paid
INV00178,2026-03-07,Fuel Station,NO1179,Travel,Fuel,76.14,7.61,83.75,Credit Card,2026-03-22,Overdue
INV00179,2026-01-05,City Electricity,NO1180,Utilities,Electricity Bill,674.48,67.45,741.93,Credit Card,2026-01-20,Paid
INV00180,2026-05-19,Cleaning Services,NO1181,Maintenance,Cleaning,24.71,2.47,27.18,Credit Card,2026-06-03,Paid
INV00181,2026-04-21,ABC Office Supplies,NO1182,Office Supplies,Printer Paper,684.65,68.47,753.12,Online,2026-05-06,Pending
INV00182,2026-02-27,Microsoft,NO1183,Software,Microsoft 365,1486.85,148.69,1635.54,Cash,2026-03-14,Overdue
INV00183,2026-04-27,City Electricity,NO1184,Utilities,Electricity Bill,1423.43,142.34,1565.77,Online,2026-05-12,Paid
INV00184,2026-05-26,Microsoft,NO1185,Software,Microsoft 365,22.27,2.23,24.5,Online,2026-06-10,Paid
INV00185,2026-01-12,Microsoft,NO1186,Software,Microsoft 365,137,13.7,150.7,Bank Transfer,2026-01-27,Overdue
INV00186,2026-06-18,DHL,NO1187,Shipping,Courier,305.2,30.52,335.72,Credit Card,2026-07-03,Paid
INV00187,2026-04-26,Zoom,NO1188,Software,Zoom Subscription,829.15,82.92,912.07,Bank Transfer,2026-05-11,Pending
INV00188,2026-05-03,Dell Store,NO1189,Equipment,Laptop,483.22,48.32,531.54,Credit Card,2026-05-18,Overdue
INV00189,2026-01-31,City Electricity,NO1190,Utilities,Electricity Bill,559.37,55.94,615.31,Online,2026-02-15,Paid
INV00190,2026-03-24,Fuel Station,NO1191,Travel,Fuel,734.36,73.44,807.8,Cash,2026-04-08,Paid
INV00191,2026-05-07,Cleaning Services,NO1192,Maintenance,Cleaning,459.79,45.98,505.77,Online,2026-05-22,Pending
INV00192,2026-06-20,Fuel Station,NO1193,Travel,Fuel,999.26,99.93,1099.19,Bank Transfer,2026-07-05,Pending
INV00193,2026-06-23,Zoom,NO1194,Software,Zoom Subscription,163.08,16.31,179.39,Online,2026-07-08,Pending
INV00194,2026-04-21,DHL,NO1195,Shipping,Courier,1393.47,139.35,1532.82,Credit Card,2026-05-06,Paid
INV00195,2026-06-29,Zoom,NO1196,Software,Zoom Subscription,519.37,51.94,571.31,Bank Transfer,2026-07-14,Overdue
INV00196,2026-03-11,Microsoft,NO1197,Software,Microsoft 365,253.7,25.37,279.07,Credit Card,2026-03-26,Overdue
INV00197,2026-04-29,Dell Store,NO1198,Equipment,Laptop,488.51,48.85,537.36,Cash,2026-05-14,Paid
INV00198,2026-06-05,ABC Office Supplies,NO1199,Office Supplies,Printer Paper,1207.07,120.71,1327.78,Online,2026-06-20,Pending
INV00199,2026-06-29,Microsoft,NO1200,Software,Microsoft 365,1455.61,145.56,1601.17,Bank Transfer,2026-07-14,Paid
INV00200,2026-02-10,Fuel Station,NO1201,Travel,Fuel,571.17,57.12,628.29,Cash,2026-02-25,Overdue
INV00201,2026-01-13,Dell Store,NO1202,Equipment,Laptop,63.96,6.4,70.36,Online,2026-01-28,Paid
INV00202,2026-02-13,City Electricity,NO1203,Utilities,Electricity Bill,41.47,4.15,45.62,Online,2026-02-28,Paid
INV00203,2026-02-08,Dell Store,NO1204,Equipment,Laptop,477.68,47.77,525.45,Online,2026-02-23,Pending
INV00204,2026-01-28,ABC Office Supplies,NO1205,Office Supplies,Printer Paper,114.71,11.47,126.18,Cash,2026-02-12,Overdue
INV00205,2026-05-29,Zoom,NO1206,Software,Zoom Subscription,1098.93,109.89,1208.82,Credit Card,2026-06-13,Pending
INV00206,2026-06-14,Nepal Telecom,NO1207,Internet,Internet,969.04,96.9,1065.94,Cash,2026-06-29,Pending
INV00207,2026-06-01,City Electricity,NO1208,Utilities,Electricity Bill,1026.99,102.7,1129.69,Cash,2026-06-16,Paid
INV00208,2026-03-01,Zoom,NO1209,Software,Zoom Subscription,1411.54,141.15,1552.69,Bank Transfer,2026-03-16,Paid
INV00209,2026-02-04,City Electricity,NO1210,Utilities,Electricity Bill,809.62,80.96,890.58,Online,2026-02-19,Pending
INV00210,2026-01-19,Nepal Telecom,NO1211,Internet,Internet,1289.5,128.95,1418.45,Cash,2026-02-03,Paid
INV00211,2026-04-18,Microsoft,NO1212,Software,Microsoft 365,768.86,76.89,845.75,Cash,2026-05-03,Pending
INV00212,2026-03-11,Nepal Telecom,NO1213,Internet,Internet,643.93,64.39,708.32,Credit Card,2026-03-26,Pending
INV00213,2026-01-22,DHL,NO1214,Shipping,Courier,1293.14,129.31,1422.45,Online,2026-02-06,Pending
INV00214,2026-05-23,Nepal Telecom,NO1215,Internet,Internet,842.29,84.23,926.52,Cash,2026-06-07,Paid
INV00215,2026-03-12,Dell Store,NO1216,Equipment,Laptop,1322.45,132.25,1454.7,Online,2026-03-27,Pending
INV00216,2026-02-02,Zoom,NO1217,Software,Zoom Subscription,875.59,87.56,963.15,Credit Card,2026-02-17,Paid
INV00217,2026-03-11,City Electricity,NO1218,Utilities,Electricity Bill,1249.27,124.93,1374.2,Online,2026-03-26,Pending
